"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","SpeedOfLight","","","","SOLBottleneck","INF","Compute and Memory are well-balanced: To reduce runtime, both computation and memory traffic must be reduced. Check both the Compute Workload Analysis and Memory Workload Analysis sections.","",""
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 64:1. The workload achieved 5% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","ComputeWorkloadAnalysis","","","","HighPipeUtilization","INF","ALU is the highest-utilized pipeline (29.2%) based on elapsed cycles in the workload, taking into account the rates of its different instructions. It executes integer and logic operations. It is well-utilized, but should not be a bottleneck. Based on the number of executed instructions, the highest utilized pipeline (60.8%) is LSU. It executes load/store memory operations. Comparing the two, the overall pipeline utilization appears to be caused by frequent, low-latency instructions. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-decoder) or hover over the pipeline name to understand the workloads handled by each pipeline. The Instruction Statistics section shows the mix of executed instructions for this workload. Check the Warp State Statistics section for which reasons cause warps to stall.","",""
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","MemoryWorkloadAnalysis_Tables","","","","LocalMemoryUsage","OPT","This workload accesses local memory (https://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#device-memory-accesses), accounting for 19.08% of all sectors requested in L1TEX. Local memory refers to a memory space that is private to each thread. Although it is logically distinct, local memory resides in global memory. This can lead to higher memory latency compared to the usage of registers or shared memory, a decrease in available bandwidth to global memory, and an increase in executed instructions.
The local memory accesses of this workload are largely cached in L1TEX (98.16% of loads, and 94.26% of stores). However, even spilling to L1TEX might lead to high performance penalties compared with staying in registers.
One common reason for the use of local memory is arrays being too large to fit into registers or not being indexed using compile time constants (see the "Local Memory" section of the CUDA Programming Guide (https://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#device-memory-accesses). For more advice on how to reduce the usage of local memory refer to the documentation (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-hw-memory).","global","20.85"
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","MemoryWorkloadAnalysis_Tables","","","","MemoryCacheAccessPattern","OPT","The memory access pattern for global loads from L1TEX might not be optimal. On average, only 4.8 of the 32 bytes transmitted per sector are utilized by each thread. This could possibly be caused by a stride between threads. Check the Source Counters section for uncoalesced global loads.","global","51.72"
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","MemoryWorkloadAnalysis_Tables","","","","MemoryCacheAccessPattern","OPT","The memory access pattern for global stores to L1TEX might not be optimal. On average, only 4.7 of the 32 bytes transmitted per sector are utilized by each thread. This could possibly be caused by a stride between threads. Check the Source Counters section for uncoalesced global stores.","global","51.93"
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","MemoryWorkloadAnalysis_Tables","","","","MemoryCacheAccessPattern","OPT","The memory access pattern for local loads from L1TEX might not be optimal. On average, only 23.5 of the 32 bytes transmitted per sector are utilized by each thread. This could possibly be caused by a stride between threads. Check the Source Counters section for uncoalesced local loads.","global","16.18"
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","MemoryWorkloadAnalysis_Tables","","","","MemoryCacheAccessPattern","OPT","The memory access pattern for local stores to L1TEX might not be optimal. On average, only 0.6 of the 32 bytes transmitted per sector are utilized by each thread. This could possibly be caused by a stride between threads. Check the Source Counters section for uncoalesced local stores.","global","59.59"
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","SchedulerStats","","","","IssueSlotUtilization","OPT","Every scheduler is capable of issuing one instruction per cycle, but for this workload each scheduler only issues an instruction every 2.3 cycles. This might leave hardware resources underutilized and may lead to less optimal performance. Out of the maximum of 12 warps per scheduler, this workload allocates an average of 5.12 active warps per scheduler, but only an average of 0.77 warps were eligible per cycle. Eligible warps are the subset of active warps that are ready to issue their next instruction. Every cycle with no eligible warp results in no instruction being issued and the issue slot remains unused. To increase the number of eligible warps, avoid possible load imbalances due to highly different execution durations per warp. Reducing stalls indicated on the Warp State Statistics and Source Counters sections can help, too.","local","39.21"
"0","14232","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayCoreSoA, WavefrontHitRecord *, unsigned int)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 5.4 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 45.7% of the total average of 11.9 cycles between issuing two instructions.","global","39.21"
